Apple iPhone 5C	16GB - Blue - AT&T	165	http://assets2.glyde.com/static/F58E003D11548CC7FF546830545068BBB0904738/images/phones/107x200/12077386p.jpg
Apple iPhone 5S	64GB - Space Gray - T-Mobile*delim*64GB - Space Gray - Sprint	298*delim*397	http://assets2.glyde.com/static/EE658C0250EF7DF14155CC2E696CCDA95003FAA8/images/phones/95x200/12076282p.jpg*delim*http://assets0.glyde.com/static/48EA65B8E445413257E69CB320890048543BD8A8/images/phones/95x200/12076279p.jpg
Apple iPhone 5S	32GB - Gold - T-Mobile*delim*32GB - Gold - Verizon	359*delim*359	http://assets3.glyde.com/static/833561FAAF8D6BCAC775486C8AB33F995F3E798A/images/phones/95x200/12076270p.jpg*delim*http://assets0.glyde.com/static/F14ACC216C44448FF72E6839858F645D70BD3E68/images/phones/96x200/12076320p.jpg
Apple iPhone 5S	32GB - Silver - T-Mobile	348	http://assets1.glyde.com/static/3BE39D3450952C2280F0CE750FFD4242B3806CB8/images/phones/95x200/12076281p.jpg
Apple iPhone 5S	16GB - Gold - Sprint	309	http://assets1.glyde.com/static/1AF8587F47374E1DF51DA9D2B3A78041D9465FCA/images/phones/96x200/12076288p.jpg
Apple iPhone 5S	16GB - Gold - T-Mobile	236	http://assets0.glyde.com/static/A60E5F7820833A2180142F16BAC9874BE2AAFEAB/images/phones/95x200/12076280p.jpg
Apple iPhone 5S	16GB - Space Gray - T-Mobile*delim*32GB - Space Gray - Sprint*delim*16GB - Space Gray - Sprint*delim*64GB - Gold - Verizon	221*delim*329*delim*298*delim*299	http://assets3.glyde.com/static/32FD7A42387F4556B112D41B6C17FF7B1E310CA4/images/phones/95x200/12076256p.jpg*delim*http://assets1.glyde.com/static/3E2F6EA9EF5CE76F6AC33221D3341E9CFD14F052/images/phones/95x200/12076250p.jpg*delim*http://assets0.glyde.com/static/701F7759C2269F93F87105F4B4F8FA3224A97DE0/images/phones/95x200/12076266p.jpg*delim*http://assets1.glyde.com/static/5511273EC3E16FAAA3364E5E79DB17561AB71CF6/images/phones/95x200/12076267p.jpg
Apple iPhone 5S	16GB - Silver - AT&T*delim*64GB - Space Gray - Verizon*delim*64GB - Space Gray - AT&T*delim*32GB - Gold - AT&T*delim*16GB - Silver - Verizon*delim*32GB - Silver - Verizon*delim*32GB - Silver - AT&T*delim*32GB - Space Gray - AT&T*delim*64GB - Silver - AT&T*delim*16GB - Gold - AT&T	197*delim*253*delim*242*delim*230*delim*212*delim*397*delim*348*delim*338*delim*329*delim*250	http://assets0.glyde.com/static/540AC67D0718A4FC68583F12D5EF5DEFBFA7A871/images/phones/96x200/12076296p.jpg*delim*http://assets1.glyde.com/static/CB83E887046947228852825C77105D016222331E/images/phones/95x200/12076254p.jpg*delim*http://assets2.glyde.com/static/4D59D7E461CC2B7E72697B1B83F9AFBBCEECDFAB/images/phones/95x200/12076255p.jpg*delim*http://assets1.glyde.com/static/9A2C1A22335E8095CA81106FFEB503795A3DBC74/images/phones/95x200/12076263p.jpg*delim*http://assets3.glyde.com/static/C7A1A41333910C45F7D46A216F67CBE42CBA762B/images/phones/95x200/12076278p.jpg*delim*http://assets0.glyde.com/static/A053DDD17014C9ED50B88EFB6869CA6C18E313FF/images/phones/96x200/12076302p.jpg*delim*http://assets0.glyde.com/static/6E93870CB224C9F27BD47EC4E05CA17838FFAA63/images/phones/95x200/12076248p.jpg*delim*http://assets1.glyde.com/static/18D701A338E1379497DA0CC8588C312617E11593/images/phones/96x200/12076293p.jpg*delim*http://assets2.glyde.com/static/08F42DC3B39D5846C533031F4E637BD621163896/images/phones/99x200/12076358p.jpg*delim*http://assets1.glyde.com/static/6F38A9A2B9A919F2B82B15E853F17C84537DD6FE/images/phones/99x200/12076380p.jpg
Apple iPhone 5S	16GB - Space Gray - Verizon*delim*32GB - Space Gray - Verizon*delim*16GB - Silver - Sprint	199*delim*234*delim*298	http://assets0.glyde.com/static/D6E286B20BD89D32A6ED32229D8471A863960053/images/phones/102x200/12076355p.jpg*delim*http://assets1.glyde.com/static/89A80B761D6DCF74CA732905D98CA6436B36778B/images/phones/107x200/12077385p.jpg*delim*http://assets3.glyde.com/static/71EBC8BC1F6E3D88A83A014CCD3E682EFCE77DC9/images/phones/107x200/12077383p.jpg
Apple iPhone 6	16GB - Space Gray - Verizon*delim*64GB - Silver - Verizon*delim*64GB - Space Gray - T-Mobile	456*delim*580*delim*522	http://assets3.glyde.com/static/720BF6ED90FD4E9CA3986109C2731974E8F1FBA9/images/phones/99x200/12077822p.jpg*delim*http://assets3.glyde.com/static/378AB2FC5AFF28CCEEFA705C920FA3BFF07A0FA2/images/phones/99x200/12077835p.jpg*delim*http://assets0.glyde.com/static/4199C67A7694BCC46BC5D3200957E4D7E48F5DDF/images/phones/108x200/12077860p.jpg
