announced_date	battery	camera	current_status	dimensions	display_inches	image	is_Touch	memory	os	phone_model	processor	ram	resolution	url	weight
14-Feb-11				 9.80 x 6.61 x 0.51 inches		http://i-cdn.phonearena.com/images/phones/26936-specs/Motorola-XOOM-Wi-Fi.jpg			" Android (4.1.2, 4.1, 4.0.4, 4.0, 3.2, 3.1, 3.0)"	Motorola XOOM Wi-Fi				http://www.phonearena.com/phones/Motorola-XOOM-Wi-Fi_id5222	
3-Nov-11		5 megapixels		 10.00 x 6.83 x 0.35 inches	 10.1 inches	http://i-cdn.phonearena.com/images/phones/32370-specs/Motorola-XOOM-2.jpg	 Multi-touch		 Android (3.2)	Motorola XOOM 2			 1280 x 800 pixels	http://www.phonearena.com/phones/Motorola-XOOM-2_id6402	599 g
3-Nov-11		5 megapixels		 8.50 x 5.47 x 0.35 inches	 8.2 inches	http://i-cdn.phonearena.com/images/phones/32374-specs/Motorola-XOOM-2-Media-Edition.jpg	 Multi-touch		 Android (3.2)	Motorola XOOM 2 Media Edition			 1280 x 800 pixels	http://www.phonearena.com/phones/Motorola-XOOM-2-Media-Edition_id6403	386 g
6-Dec-11		5 megapixels	Released	 10.00 x 6.83 x 0.35 inches	 10.1 inches	http://i-cdn.phonearena.com/images/phones/33659-specs/Motorola-DROID-XYBOARD-10.1.jpg	 Multi-touch		 Android (3.2)	Motorola DROID XYBOARD 10.1			 1280 x 800 pixels	http://www.phonearena.com/phones/Motorola-DROID-XYBOARD-10.1_id6686	599 g
6-Dec-11			Released	 8.50 x 5.47 x 0.35 inches		http://i-cdn.phonearena.com/images/phones/33663-specs/Motorola-DROID-XYBOARD-8.2.jpg			" Android (4.0, 3.2)"	Motorola DROID XYBOARD 8.2				http://www.phonearena.com/phones/Motorola-DROID-XYBOARD-8.2_id6687	386 g
9-Jun-08		2 megapixels	Released	 4.50 x 2.40 x 0.48 inches	 3.5 inches	http://i-cdn.phonearena.com/images/phones/10530-specs/Apple-iPhone-3G.jpg	 Multi-touch		" iOS (4.x, 3.x, 2.x)"	Apple iPhone 3G			 320 x 480 pixels	http://www.phonearena.com/phones/Apple-iPhone-3G_id2962	133 g
8-Jun-09		3 megapixels	Released	 4.50 x 2.40 x 0.48 inches	 3.5 inches	http://i-cdn.phonearena.com/images/phones/16112-specs/Apple-iPhone-3GS.jpg	 Multi-touch		" iOS (6.1, 6, 5.1, 5, 4.x, 3.x)"	Apple iPhone 3GS			 320 x 480 pixels	http://www.phonearena.com/phones/Apple-iPhone-3GS_id3774	135 g
11-Jan-11		5 megapixels	Released	 4.54 x 2.31 x 0.37 inches	 3.5 inches	http://i-cdn.phonearena.com/images/phones/26122-specs/Apple-iPhone-4-Verizon.jpg	 Multi-touch	32 GB	" iOS (7.x, 6.1, 6, 5.1, 5, 4.x)"	Apple iPhone 4 Verizon	" Single core, 1000 MHz, ARM Cortex-A8"	512 MB 	 640 x 960 pixels	http://www.phonearena.com/phones/Apple-iPhone-4-Verizon_id5132	137 g
10-Sep-13		8 megapixels	Released	 4.90 x 2.33 x 0.35 inches	 4.0 inches	http://i-cdn.phonearena.com/images/phones/42880-specs/Apple-iPhone-5c.jpg	 Multi-touch		" iOS (9.x, 8.x, 7.x)"	Apple iPhone 5c	" Dual-core, 1300 MHz, Swift"	1016 MB 	 640 x 1136 pixels	http://www.phonearena.com/phones/Apple-iPhone-5c_id7983	132 g
18-Jun-14				 5.5 x 2.6 x 0.35 inches	 4.7 inches	http://i-cdn.phonearena.com/images/phones/47620-specs/Amazon-Fire-Phone.jpg	" Multi-touch Features: Light sensor, Proximity sensor Camera Camera: 13 megapixels Flash: LED Aperture size: Aperture size - The aperture of a camera is the opening through which light travels before it reaches the camera sensor. The smaller the number is, the bigger this opening is, allowing for more light to pass. F2.0 Features: Autofocus, Optical image stabilization, Digital zoom Shooting Modes: Burst mode, High Dynamic Range mode (HDR), Panorama Camcorder: 1920x1080 (1080p HD) (30 fps) Features: Video sharing Front-facing camera: 2.1 megapixels Hardware System chip: System chip - Most modern handsets use an advanced chip that includes many of the device‰Ûªs hardware modules like the processor, Wi-Fi, Bluetooth and sometimes even the wireless radio. This field shows what particular system chip (or System-on-a-Chip) is used in the phone. Qualcomm Snapdragon 800 8974 Processor: Processor - The processor is the main computing component of a phone and is a major factor when it comes to the overall speed of the device. Some more powerful smartphones use dual-core and quad-core processors designed to deliver greater performance. Quad-core, 2200 MHz, Krait 400 Graphics processor: Adreno 330 System memory: System memory - System memory, or RAM memory is the type of memory that the device uses to temporarily store data from the OS or currently-running apps. The more RAM available to the device, the better the performance will be when multiple or heavier programs are running. 2048 MB RAM Built-in storage: 64 GB Battery Talk time: 22.00 hours the average is 13 h (804 min) Stand-by time: 11.9 days (285 hours) the average is 17 days (409 h) Music playback: 65.00 hours Video playback: 11.00 hours Capacity: 2400 mAh Not user replaceable: Yes Multimedia Music player: Filter by: Album, Artist, Playlists Features: Music recognition, Preset equalizer, Dolby Digital, Dolby Digital Plus Speakers: Earpiece, Stereo speakers"		 Android (4.2.2) Fire OS 3.5.0 UI	Amazon Fire Phone			 720 x 1280 pixels	http://www.phonearena.com/phones/Amazon-Fire-Phone_id8731	160 g
20-Aug-14		8 megapixels	Released	 5.44 x 2.78 x 0.42 inches	 5.0 inches	http://i-cdn.phonearena.com/images/phones/50158-specs/LG-L-Bello.jpg	 Multi-touch	8 GB	 Android (4.4.2)	LG L Bello	" Quad-core, 1300 MHz"	1024 MB 	 480 x 854 pixels	http://www.phonearena.com/phones/LG-L-Bello_id8841	137 g
20-Aug-14		8 megapixels	Released	 5.02 x 2.67 x 0.47 inches	 4.5 inches	http://i-cdn.phonearena.com/images/phones/49677-specs/LG-L-Fino.jpg	 Multi-touch		 Android (4.4.2)	LG L Fino			 480 x 800 pixels	http://www.phonearena.com/phones/LG-L-Fino_id8844	145 g
26-Aug-14		13 megapixels		 5.88 x 2.99 x 0.40 inches	 5.5 inches	http://i-cdn.phonearena.com/images/phones/48650-specs/LG-G3-Stylus.jpg	 Multi-touch		 Android (4.4.2) UX UI	LG G3 Stylus			 540 x 960 pixels	http://www.phonearena.com/phones/LG-G3-Stylus_id8857	163 g
12-Sep-14				 5.01 x 2.63 x 0.38 inches		http://i-cdn.phonearena.com/images/phones/48990-specs/LG-REALM.jpg			 Android (4.4)	LG REALM				http://www.phonearena.com/phones/LG-REALM_id8920	136 g
12-Sep-14						http://i-cdn.phonearena.com/images/phones/48999-specs/LG-TRUE.jpg				LG TRUE				http://www.phonearena.com/phones/LG-TRUE_id8921	
1-Oct-14		5 megapixels		 5.02 x 2.67 x 0.42 inches	 4.5 inches	http://i-cdn.phonearena.com/images/phones/49375-specs/LG-F60.jpg	 Multi-touch		 Android (4.4.2)	LG F60			 480 x 800 pixels	http://www.phonearena.com/phones/LG-F60_id8938	130 g
7-Oct-14		5 megapixels		 5.02 x 2.67 x 0.42 inches	 4.5 inches	http://i-cdn.phonearena.com/images/phones/49430-specs/LG-TRIBUTE.jpg	 Multi-touch		 Android (4.4.2)	LG TRIBUTE			 480 x 800 pixels	http://www.phonearena.com/phones/LG-TRIBUTE_id8951	139 g
8-Jan-09			Released			http://i-cdn.phonearena.com/images/phones/11987-specs/LG-GD910.jpg				LG GD910				http://www.phonearena.com/phones/LG-GD910_id3368	
11-Jun-09			Released			http://i-cdn.phonearena.com/images/phones/16294-specs/LG-Tritan.jpg				LG Tritan				http://www.phonearena.com/phones/LG-Tritan_id3306	
25-Jun-09						http://i-cdn.phonearena.com/images/phones/19603-specs/LG-KP260.jpg				LG KP260				http://www.phonearena.com/phones/LG-KP260_id2993	
26-Mar-10			Released			http://i-cdn.phonearena.com/images/phones/20798-specs/LG-GS155.jpg				LG GS155				http://www.phonearena.com/phones/LG-GS155_id4580	
26-Mar-10			Released			http://i-cdn.phonearena.com/images/phones/20624-specs/LG-GT400.jpg				LG GT400				http://www.phonearena.com/phones/LG-GT400_id4489	
15-Apr-11			Released			http://i-cdn.phonearena.com/images/phones/33266-specs/LG-C375.jpg				LG C375				http://www.phonearena.com/phones/LG-C375_id5413	
5-May-11						http://i-cdn.phonearena.com/images/phones/33936-specs/LG-A210.jpg				LG A210				http://www.phonearena.com/phones/LG-A210_id5498	
3-Oct-12			Released			http://i-cdn.phonearena.com/images/phones/38420-specs/LG-Optimus-G-AT-T.jpg			" Android (4.1.2, 4.0.4)"	LG Optimus G AT&T				http://www.phonearena.com/phones/LG-Optimus-G-AT-T_id7479	
25-Oct-13						http://i-cdn.phonearena.com/images/phones/43493-specs/LG-Wine-III.jpg				LG Wine III				http://www.phonearena.com/phones/LG-Wine-III_id8198	
