HTC One M8 (Android),32GB - Gold - Verizon,203,25
HTC One M8 (Android),32GB - Gold - Sprint,169,0
HTC One M8 (Android),32GB - Gold - AT&T,289,0
HTC One M8 (Android),32GB - Grey - T-Mobile,311,0
HTC One M8 (Android),32GB - Grey - AT&T,190,0
Nokia Lumia Icon,32GB - White - Verizon,214,0
Nokia Lumia Icon,32GB - Black - Verizon,130,50
Sony Xperia Z1S,32GB - Black - T-Mobile,202,0
Motorola Moto G,8GB - Black - T-Mobile,85,0
Motorola Moto G,8GB - Black - AT&T,80,0
Motorola Moto G,16GB - Black - AT&T,126,25
HTC One Max,32GB - Silver - Verizon,160,50
LG G Flex,32GB - Silver - Sprint,371,25
LG G Flex,32GB - Silver - T-Mobile,439,75
LG G Flex,32GB - Silver - AT&T,259,50
Nokia Lumia 1520,16GB - Red - AT&T,214,0
Nokia Lumia 1520,32GB - Red - AT&T,281,75
Nokia Lumia 1520,16GB - White - AT&T,206,50
Nokia Lumia 1520,16GB - Yellow - AT&T,181,75
Samsung Galaxy S IV Mini,16GB - Black - Verizon,127,25
Samsung Galaxy S IV Mini,16GB - Black - AT&T,144,25
Nokia Lumia 1520,32GB - Black - AT&T,228,75
Samsung Galaxy S IV Mini,16GB - Black - Sprint,190,0
Nokia Lumia 1520,16GB - Black - AT&T,187,25
Samsung Galaxy S4,16GB - Brown - Verizon,180,0
Samsung Galaxy S4,16GB - Blue - Verizon,170,0
LG Nexus 5,16GB - White - T-Mobile,149,75
LG Nexus 5,32GB - Black - T-Mobile,160,50
LG Nexus 5,16GB - Black - T-Mobile,140,0
Samsung Galaxy Note 3,32GB - White - Verizon,225,0
Samsung Galaxy Note 3,32GB - Black - Verizon,239,0
Samsung Galaxy Note 3,32GB - Black - Sprint,249,0
Samsung Galaxy Note 3,32GB - White - T-Mobile,265,0
Samsung Galaxy Note 3,32GB - Black - T-Mobile,340,0
Samsung Galaxy Note 3,32GB - Black - AT&T,199,0
Samsung Galaxy Note 3,32GB - White - AT&T,199,0
LG G2,32GB - Black - T-Mobile,155,0
LG G2,32GB - White - T-Mobile,249,0
Apple iPhone 5C,32GB - Green - Sprint,299,0
Apple iPhone 5C,16GB - Green - Sprint,239,0
Apple iPhone 5C,32GB - White - Sprint,274,0
Apple iPhone 5C,16GB - Yellow - Sprint,225,0
Apple iPhone 5C,16GB - Green - T-Mobile,229,0
Apple iPhone 5C,8GB - Pink - T-Mobile,199,0
Apple iPhone 5C,8GB - Green - T-Mobile,199,0
Apple iPhone 5C,8GB - Pink - Sprint,175,0
Apple iPhone 5C,16GB - Pink - T-Mobile,229,0
Apple iPhone 5S,64GB - Space Gray - Sprint,397,0
Apple iPhone 5S,64GB - Gold - T-Mobile,349,0
Apple iPhone 5C,8GB - Green - Sprint,235,0
Apple iPhone 5C,32GB - Green - AT&T,523,0
Apple iPhone 5C,8GB - Yellow - Verizon,199,0
